ID_Cliente,Abandono,Genero,Adulto_Mayor,Socio,Dependientes,Meses_Permanencia,Servicio_Telefonico,Lineas_Multiples,Servicio_Internet,Seguridad_Online,Respaldo_Online,Proteccion_Dispositivo,Soporte_Tecnico,Streaming_TV,Streaming_Peliculas,Contrato,Facturacion_Electronica,Metodo_Pago,Cargos_Mensuales,Cuentas_Diarias,Cargos_Totales,Total_Servicios
0018-NYROU,0.0,Femenino,0,1,0,5,1,No,Fibra Óptica,No,No,No,No,No,No,Mensual,1,Cheque Electrónico,68.95,2.2983333333333333,351.5,0.0
0019-EFAEP,0.0,Femenino,0,0,0,72,1,Yes,Fibra Óptica,Yes,Yes,Yes,No,Yes,No,Bienal,1,Transferencia Bancaria,101.3,3.3766666666666665,7261.25,0.0
0019-GFNTW,0.0,Femenino,0,0,0,56,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Bienal,0,Transferencia Bancaria,45.05,1.5016666666666665,2560.1,0.0
0020-INWCK,0.0,Femenino,0,1,1,71,1,Yes,Fibra Óptica,No,Yes,Yes,No,No,Yes,Bienal,1,Tarjeta de Crédito,95.75,3.191666666666667,6849.4,0.0
0020-JDNXP,0.0,Femenino,0,1,1,34,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,Anual,0,Cheque por Correo,61.25,2.0416666666666665,1993.2,0.0
0021-IKXGC,0.0,Femenino,1,0,0,1,1,Yes,Fibra Óptica,No,No,No,No,No,No,Mensual,1,Cheque Electrónico,72.1,2.4033333333333333,72.1,0.0
0022-TCJCI,1.0,Masculino,1,0,0,45,1,No,DSL,Yes,No,Yes,No,No,Yes,Anual,0,Tarjeta de Crédito,62.7,2.0900000000000003,2791.5,0.0
0023-HGHWL,1.0,Masculino,1,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Mensual,1,Cheque Electrónico,25.1,0.8366666666666667,25.1,0.0
0023-UYUPN,0.0,Femenino,1,1,0,50,1,Yes,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Anual,0,Cheque Electrónico,25.2,0.84,1306.3,0.0
0023-XUOPT,1.0,Femenino,0,1,0,13,1,Yes,Fibra Óptica,No,Yes,Yes,No,Yes,No,Mensual,0,Cheque Electrónico,94.1,3.1366666666666663,1215.6,0.0
0027-KWYKW,0.0,Femenino,0,1,1,23,1,Yes,Fibra Óptica,No,No,No,No,Yes,No,Mensual,1,Cheque Electrónico,83.75,2.7916666666666665,1849.95,0.0
0030-FNXPP,0.0,Femenino,0,0,0,3,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Mensual,0,Cheque por Correo,19.85,0.6616666666666667,57.2,0.0
0031-PVLZI,1.0,Femenino,0,1,1,4,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Mensual,0,Cheque por Correo,20.35,0.6783333333333333,76.35,0.0
0032-PGELS,1.0,Femenino,0,1,1,1,0,No phone service,DSL,Yes,No,No,No,No,No,Mensual,0,Transferencia Bancaria,30.5,1.0166666666666666,30.5,0.0
0036-IHMOT,0.0,Femenino,0,1,1,55,1,No,Fibra Óptica,No,Yes,Yes,Yes,Yes,Yes,Anual,1,Transferencia Bancaria,103.7,3.4566666666666666,5656.75,0.0
0040-HALCW,0.0,Masculino,0,1,1,54,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Bienal,0,Tarjeta de Crédito,20.4,0.6799999999999999,1090.6,0.0
0042-JVWOJ,0.0,Masculino,0,0,0,26,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Anual,1,Transferencia Bancaria,19.6,0.6533333333333334,471.85,0.0
0042-RLHYP,0.0,Femenino,0,1,1,69,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Bienal,0,Transferencia Bancaria,19.7,0.6566666666666666,1396.9,0.0
0047-ZHDTW,,Femenino,0,0,0,11,1,Yes,Fibra Óptica,Yes,No,No,No,No,No,Mensual,1,Transferencia Bancaria,79.0,2.6333333333333333,929.3,0.0
0048-LUMLS,0.0,Masculino,0,1,1,37,1,No,Fibra Óptica,No,No,No,No,Yes,Yes,Anual,0,Tarjeta de Crédito,91.2,3.04,3247.55,0.0
0048-PIHNL,0.0,Femenino,0,1,0,49,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Anual,0,Transferencia Bancaria,20.45,0.6816666666666666,900.9,0.0
0052-DCKON,0.0,Masculino,0,1,0,66,1,Yes,Fibra Óptica,Yes,Yes,Yes,Yes,Yes,Yes,Anual,0,Transferencia Bancaria,115.8,3.86,7942.15,0.0
0052-YNYOT,0.0,Femenino,0,0,0,67,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Anual,0,Cheque Electrónico,20.55,0.685,1343.4,0.0
0056-EPFBG,0.0,Masculino,0,1,1,20,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,Bienal,1,Tarjeta de Crédito,39.4,1.3133333333333332,825.4,0.0
0057-QBUQH,0.0,Femenino,0,0,1,43,1,Yes,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Bienal,1,Cheque Electrónico,25.1,0.8366666666666667,1070.15,0.0
0058-EVZWM,0.0,Femenino,0,1,0,55,1,Yes,Fibra Óptica,Yes,No,No,No,Yes,No,Mensual,1,Transferencia Bancaria,89.8,2.993333333333333,4959.6,0.0
0060-FUALY,0.0,Femenino,0,1,0,59,1,Yes,Fibra Óptica,Yes,Yes,No,No,Yes,No,Mensual,1,Cheque Electrónico,94.75,3.158333333333333,5597.65,0.0
0064-SUDOG,0.0,Femenino,0,1,1,12,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Bienal,0,Transferencia Bancaria,20.3,0.6766666666666666,224.5,0.0
0064-YIJGF,0.0,Masculino,0,1,1,27,1,Yes,Fibra Óptica,No,No,No,No,No,No,Mensual,1,Transferencia Bancaria,75.75,2.525,1929.0,0.0
0067-DKWBL,1.0,Masculino,1,0,0,2,1,No,DSL,Yes,No,No,No,No,No,Mensual,1,Cheque Electrónico,49.25,1.6416666666666666,91.1,0.0
0068-FIGTF,0.0,Femenino,0,0,0,27,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Anual,0,Cheque por Correo,78.2,2.606666666666667,2078.95,0.0
0071-NDAFP,0.0,Masculino,0,1,1,25,1,Yes,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Bienal,0,Tarjeta de Crédito,25.5,0.85,630.6,0.0
0074-HDKDG,0.0,Masculino,0,1,1,25,1,No,DSL,Yes,Yes,Yes,No,No,No,Anual,1,Transferencia Bancaria,61.6,2.0533333333333332,1611.0,0.0
0076-LVEPS,0.0,Masculino,0,0,1,29,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Mensual,1,Cheque por Correo,45.0,1.5,1242.45,0.0
0078-XZMHT,0.0,Masculino,0,1,0,72,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Bienal,1,Transferencia Bancaria,85.15,2.8383333333333334,6316.2,0.0
0080-EMYVY,0.0,Femenino,0,0,0,14,1,No,DSL,No,Yes,No,No,No,No,Anual,0,Tarjeta de Crédito,51.45,1.715,727.85,0.0
0080-OROZO,0.0,Femenino,0,0,0,35,1,No,Fibra Óptica,No,No,Yes,Yes,Yes,Yes,Anual,1,Cheque Electrónico,99.25,3.308333333333333,3532.0,0.0
0082-LDZUE,0.0,Masculino,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Mensual,1,Cheque por Correo,44.3,1.4766666666666666,44.3,0.0
0082-OQIQY,0.0,Masculino,0,0,0,29,1,No,Fibra Óptica,No,No,No,Yes,Yes,Yes,Mensual,1,Cheque Electrónico,94.2,3.14,2607.6,0.0
0083-PIVIK,0.0,Masculino,0,0,0,64,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Anual,0,Cheque Electrónico,81.25,2.7083333333333335,5567.55,0.0
0089-IIQKO,0.0,Femenino,0,1,1,39,1,Yes,Fibra Óptica,No,No,No,Yes,Yes,Yes,Mensual,1,Tarjeta de Crédito,99.95,3.3316666666666666,3767.4,0.0
0093-EXYQL,0.0,Femenino,1,0,0,40,1,No,Fibra Óptica,No,No,No,No,Yes,Yes,Mensual,1,Cheque Electrónico,91.55,3.0516666666666667,3673.6,0.0
0093-XWZFY,1.0,Masculino,0,0,0,40,1,Yes,Fibra Óptica,No,Yes,Yes,No,Yes,Yes,Mensual,1,Tarjeta de Crédito,104.5,3.4833333333333334,4036.85,0.0
0094-OIFMO,1.0,Femenino,1,0,0,11,1,No,Fibra Óptica,No,Yes,No,No,Yes,Yes,Mensual,1,Cheque Electrónico,95.0,3.1666666666666665,1120.3,0.0
0096-BXERS,0.0,Femenino,0,1,0,6,1,Yes,DSL,No,No,No,No,No,No,Mensual,0,Cheque Electrónico,50.35,1.6783333333333335,314.55,0.0
0096-FCPUF,0.0,Masculino,0,0,0,30,1,Yes,DSL,Yes,No,No,No,No,Yes,Mensual,1,Cheque por Correo,64.5,2.15,1888.45,0.0
0098-BOWSO,0.0,Masculino,0,0,0,27,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Mensual,1,Cheque Electrónico,19.4,0.6466666666666666,529.8,0.0
0100-DUVFC,0.0,Masculino,1,1,0,70,1,Yes,Fibra Óptica,No,Yes,Yes,No,Yes,Yes,Anual,1,Cheque Electrónico,104.8,3.493333333333333,7308.95,0.0
0103-CSITQ,0.0,Femenino,0,1,0,57,1,Yes,Fibra Óptica,No,Yes,Yes,Yes,Yes,Yes,Anual,1,Transferencia Bancaria,109.4,3.646666666666667,6252.7,0.0
0104-PPXDV,0.0,Masculino,0,1,0,58,1,No,DSL,No,No,Yes,No,No,No,Anual,0,Tarjeta de Crédito,50.3,1.6766666666666665,2878.55,0.0
0106-GHRQR,0.0,Masculino,0,0,0,16,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Mensual,1,Transferencia Bancaria,71.4,2.3800000000000003,1212.1,0.0
0106-UGRDO,0.0,Femenino,0,1,0,69,1,Yes,Fibra Óptica,Yes,Yes,Yes,Yes,Yes,Yes,Bienal,1,Cheque Electrónico,116.0,3.8666666666666667,8182.85,0.0
0107-WESLM,1.0,Masculino,0,0,0,1,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Mensual,1,Cheque Electrónico,19.85,0.6616666666666667,19.85,0.0
0107-YHINA,1.0,Masculino,0,0,1,1,1,Yes,Fibra Óptica,No,No,Yes,No,Yes,Yes,Mensual,1,Cheque Electrónico,99.75,3.325,99.75,0.0
0111-KLBQG,0.0,Masculino,1,1,1,32,1,No,Fibra Óptica,No,Yes,No,No,Yes,Yes,Mensual,1,Cheque por Correo,93.95,3.131666666666667,2861.45,0.0
0112-QAWRZ,0.0,Masculino,0,1,1,16,1,Yes,Fibra Óptica,No,No,Yes,No,Yes,No,Mensual,1,Transferencia Bancaria,90.8,3.0266666666666664,1442.2,0.0
0112-QWPNC,1.0,Masculino,0,1,0,49,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Anual,0,Cheque Electrónico,84.35,2.8116666666666665,4059.35,0.0
0114-IGABW,0.0,Femenino,0,1,0,71,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Bienal,0,Transferencia Bancaria,58.25,1.9416666666666667,4145.9,0.0
0114-PEGZZ,0.0,Femenino,0,0,0,33,1,Yes,Fibra Óptica,No,Yes,Yes,No,Yes,Yes,Mensual,0,Cheque Electrónico,107.55,3.585,3645.5,0.0
0114-RSRRW,0.0,Femenino,0,1,0,10,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Mensual,1,Transferencia Bancaria,19.95,0.6649999999999999,187.75,0.0
0115-TFERT,1.0,Masculino,0,1,0,21,1,Yes,Fibra Óptica,No,Yes,Yes,Yes,Yes,Yes,Mensual,1,Cheque Electrónico,111.2,3.7066666666666666,2317.1,0.0
0117-LFRMW,1.0,Masculino,0,1,1,37,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Mensual,0,Transferencia Bancaria,40.2,1.34,1448.8,0.0
0118-JPNOY,0.0,Femenino,1,0,0,26,1,No,Fibra Óptica,Yes,No,No,No,Yes,No,Mensual,1,Tarjeta de Crédito,85.8,2.86,2193.65,0.0
0120-YZLQA,,Masculino,0,0,0,71,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Bienal,1,Tarjeta de Crédito,19.9,0.6633333333333333,1355.1,0.0
0121-SNYRK,0.0,Masculino,0,0,0,50,0,No phone service,DSL,Yes,No,No,Yes,No,No,Anual,1,Cheque por Correo,35.4,1.18,1748.9,0.0
0122-OAHPZ,1.0,Femenino,0,0,0,7,1,Yes,Fibra Óptica,No,No,No,No,No,No,Mensual,1,Cheque Electrónico,73.85,2.4616666666666664,511.25,0.0
0123-CRBRT,0.0,Femenino,0,1,1,61,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Bienal,0,Cheque por Correo,88.1,2.9366666666666665,5526.75,0.0
0125-LZQXK,1.0,Masculino,0,0,0,15,1,No,Fibra Óptica,No,No,Yes,Yes,Yes,Yes,Mensual,1,Cheque Electrónico,101.35,3.378333333333333,1553.95,0.0
0128-MKWSG,0.0,Femenino,0,0,1,26,0,No phone service,DSL,Yes,No,No,Yes,No,Yes,Mensual,0,Cheque por Correo,45.8,1.5266666666666666,1147.0,0.0
0129-KPTWJ,0.0,Masculino,0,1,0,72,1,No,Fibra Óptica,No,No,Yes,No,Yes,Yes,Mensual,1,Cheque Electrónico,94.65,3.1550000000000002,6747.35,0.0
0129-QMPDR,0.0,Masculino,0,1,1,44,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Anual,1,Transferencia Bancaria,20.5,0.6833333333333333,865.05,0.0
0130-SXOUN,0.0,Masculino,0,0,0,66,1,Yes,Fibra Óptica,No,Yes,No,No,No,Yes,Mensual,0,Tarjeta de Crédito,89.4,2.98,5976.9,0.0
0133-BMFZO,1.0,Femenino,0,0,0,2,1,No,Fibra Óptica,Yes,Yes,No,Yes,No,No,Mensual,1,Cheque Electrónico,86.25,2.875,181.65,0.0
0134-XWXCE,0.0,Femenino,1,0,0,44,1,No,DSL,No,No,Yes,Yes,Yes,Yes,Anual,0,Transferencia Bancaria,74.85,2.4949999999999997,3268.05,0.0
0135-NMXAP,1.0,Femenino,0,0,0,12,1,Yes,Fibra Óptica,No,Yes,No,No,Yes,No,Mensual,1,Transferencia Bancaria,89.75,2.9916666666666667,1052.4,0.0
0136-IFMYD,0.0,Masculino,1,1,0,69,1,Yes,Fibra Óptica,No,Yes,Yes,Yes,Yes,Yes,Bienal,1,Cheque Electrónico,109.95,3.665,7634.25,0.0
0137-OCGAB,1.0,Femenino,0,0,0,1,1,Yes,Fibra Óptica,No,Yes,No,No,No,No,Mensual,1,Cheque por Correo,80.2,2.6733333333333333,80.2,0.0
0137-UDEUO,1.0,Femenino,0,0,0,3,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Mensual,0,Cheque por Correo,19.85,0.6616666666666667,63.75,0.0
0139-IVFJG,0.0,Femenino,0,1,0,2,1,No,Fibra Óptica,Yes,Yes,No,No,Yes,No,Mensual,0,Cheque Electrónico,90.35,3.0116666666666663,190.5,0.0
0141-YEAYS,0.0,Femenino,1,0,0,27,1,Yes,Fibra Óptica,No,Yes,Yes,No,No,No,Mensual,1,Transferencia Bancaria,86.45,2.881666666666667,2401.05,0.0
0142-GVYSN,0.0,Masculino,0,0,0,26,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Mensual,1,Cheque Electrónico,20.3,0.6766666666666666,511.25,0.0
0147-ESWWR,0.0,Femenino,1,1,0,39,1,Yes,Fibra Óptica,No,No,No,Yes,Yes,Yes,Mensual,1,Cheque Electrónico,101.25,3.375,3949.15,0.0
0148-DCDOS,1.0,Masculino,0,0,0,25,1,Yes,Fibra Óptica,No,No,No,No,Yes,Yes,Mensual,1,Transferencia Bancaria,94.7,3.1566666666666667,2362.1,0.0
0151-ONTOV,1.0,Femenino,0,0,0,1,1,No,Fibra Óptica,No,No,No,No,No,No,Mensual,0,Cheque por Correo,70.9,2.3633333333333337,70.9,0.0
0154-QYHJU,,Masculino,0,0,0,29,1,No,DSL,Yes,Yes,No,Yes,No,No,Anual,1,Cheque Electrónico,58.75,1.9583333333333333,1696.2,0.0
0156-FVPTA,1.0,Masculino,0,1,0,22,1,No,DSL,Yes,No,No,Yes,No,No,Mensual,1,Cheque Electrónico,54.2,1.8066666666666669,1152.7,0.0
0162-RZGMZ,,Femenino,1,0,0,5,1,No,DSL,Yes,Yes,No,Yes,No,No,Mensual,0,Tarjeta de Crédito,59.9,1.9966666666666666,287.85,0.0
0164-APGRB,0.0,Femenino,0,0,0,72,1,Yes,Fibra Óptica,Yes,Yes,Yes,Yes,Yes,Yes,Bienal,1,Cheque Electrónico,114.9,3.83,8496.7,0.0
0164-XAIRP,0.0,Femenino,0,0,0,24,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Bienal,1,Transferencia Bancaria,19.55,0.6516666666666667,470.2,0.0
0168-XZKBB,0.0,Femenino,0,1,0,19,1,Yes,Fibra Óptica,No,No,No,No,Yes,No,Mensual,1,Cheque Electrónico,86.85,2.895,1564.4,0.0
0174-QRVVY,0.0,Masculino,0,1,1,71,1,Yes,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Bienal,0,Tarjeta de Crédito,25.35,0.8450000000000001,1847.55,0.0
0177-PXBAT,0.0,Masculino,1,1,0,33,1,Yes,Fibra Óptica,Yes,No,Yes,Yes,Yes,Yes,Mensual,1,Transferencia Bancaria,109.9,3.6633333333333336,3694.7,0.0
0178-CIIKR,0.0,Femenino,0,0,0,3,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Mensual,0,Cheque por Correo,19.95,0.6649999999999999,58.0,0.0
0178-SZBHO,0.0,Masculino,0,1,1,47,1,Yes,Fibra Óptica,No,Yes,No,No,Yes,No,Mensual,0,Cheque Electrónico,87.2,2.9066666666666667,4017.45,0.0
0181-RITDD,0.0,Masculino,0,1,1,62,1,No,Fibra Óptica,Yes,Yes,Yes,Yes,Yes,Yes,Bienal,0,Cheque por Correo,108.15,3.605,6825.65,0.0
0186-CAERR,0.0,Masculino,0,0,0,71,1,Yes,Fibra Óptica,Yes,Yes,Yes,Yes,Yes,Yes,Anual,1,Transferencia Bancaria,116.3,3.8766666666666665,8309.55,0.0
0187-QSXOE,0.0,Masculino,1,1,0,7,1,No,Fibra Óptica,No,No,No,No,Yes,Yes,Mensual,1,Cheque Electrónico,89.0,2.966666666666667,605.45,0.0
0187-WZNAB,0.0,Femenino,0,1,1,27,1,No,Fibra Óptica,Yes,No,No,No,No,No,Mensual,0,Cheque por Correo,74.4,2.48,1972.35,0.0
0188-GWFLE,0.0,Masculino,0,0,0,2,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Mensual,0,Cheque por Correo,20.05,0.6683333333333333,33.7,0.0
0191-EQUUH,0.0,Femenino,0,0,1,25,0,No phone service,DSL,Yes,No,No,Yes,No,No,Bienal,0,Transferencia Bancaria,35.05,1.1683333333333332,844.45,0.0
0191-ZHSKZ,0.0,Masculino,1,0,0,30,1,No,DSL,Yes,Yes,No,No,Yes,Yes,Mensual,1,Cheque Electrónico,74.75,2.4916666666666667,2111.3,0.0
0193-ESZXP,1.0,Femenino,1,1,0,58,1,No,Fibra Óptica,Yes,Yes,No,Yes,Yes,Yes,Anual,1,Tarjeta de Crédito,105.5,3.5166666666666666,6205.5,0.0
0195-IESCP,1.0,Masculino,0,1,0,10,1,Yes,Fibra Óptica,No,No,No,No,No,Yes,Mensual,1,Cheque Electrónico,85.25,2.841666666666667,855.3,0.0
0196-JTUQI,0.0,Femenino,0,0,0,9,1,Yes,Fibra Óptica,No,No,No,No,No,No,Mensual,1,Tarjeta de Crédito,75.2,2.506666666666667,633.85,0.0
0196-VULGZ,1.0,Femenino,1,1,0,6,1,Yes,Fibra Óptica,No,No,No,No,No,Yes,Mensual,1,Cheque Electrónico,84.35,2.8116666666666665,474.9,0.0
0197-PNKNK,0.0,Femenino,0,1,1,69,1,Yes,Fibra Óptica,Yes,No,Yes,No,No,No,Anual,0,Transferencia Bancaria,84.45,2.815,5848.6,0.0
0201-MIBOL,0.0,Femenino,1,0,0,66,1,Yes,Fibra Óptica,Yes,No,No,No,Yes,Yes,Bienal,1,Transferencia Bancaria,102.4,3.4133333333333336,6471.85,0.0
0201-OAMXR,1.0,Femenino,0,0,0,70,1,Yes,Fibra Óptica,Yes,Yes,Yes,Yes,Yes,Yes,Anual,0,Tarjeta de Crédito,115.55,3.8516666666666666,8127.6,0.0
0203-HHYIJ,1.0,Masculino,0,0,0,25,1,Yes,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Anual,0,Transferencia Bancaria,25.3,0.8433333333333334,676.35,0.0
0206-OYVOC,0.0,Femenino,0,1,1,46,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Bienal,1,Cheque por Correo,19.25,0.6416666666666667,864.2,0.0
0206-TBWLC,0.0,Femenino,0,1,0,54,1,Yes,Fibra Óptica,Yes,Yes,Yes,Yes,Yes,Yes,Anual,1,Cheque por Correo,114.65,3.8216666666666668,6049.5,0.0
0207-MDKNV,1.0,Femenino,0,0,0,15,1,No,Fibra Óptica,Yes,No,Yes,Yes,Yes,Yes,Mensual,0,Cheque Electrónico,105.1,3.503333333333333,1582.75,0.0
0208-BPQEJ,0.0,Femenino,0,1,1,12,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Mensual,0,Transferencia Bancaria,19.4,0.6466666666666666,198.1,0.0
0212-ISBBF,0.0,Femenino,0,0,0,22,0,No phone service,DSL,No,Yes,No,No,Yes,Yes,Mensual,1,Cheque Electrónico,50.35,1.6783333333333335,1098.85,0.0
0214-JHPFW,0.0,Femenino,0,1,0,70,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Bienal,0,Transferencia Bancaria,57.8,1.9266666666666665,4039.3,0.0
0215-BQKGS,0.0,Masculino,0,0,0,30,1,No,Fibra Óptica,Yes,Yes,Yes,No,No,No,Mensual,1,Tarjeta de Crédito,84.3,2.81,2438.6,0.0
0218-QNVAS,0.0,Masculino,0,1,1,71,1,Yes,Fibra Óptica,No,Yes,No,No,Yes,Yes,Anual,0,Transferencia Bancaria,100.55,3.3516666666666666,7113.75,0.0
0219-QAERP,0.0,Masculino,0,1,0,30,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Anual,0,Tarjeta de Crédito,19.8,0.66,576.65,0.0
0219-YTZUE,1.0,Masculino,0,1,1,4,1,Yes,Fibra Óptica,No,Yes,Yes,No,No,No,Mensual,1,Transferencia Bancaria,84.8,2.8266666666666667,371.9,0.0
0220-EBGCE,1.0,Masculino,0,0,0,2,1,No,Fibra Óptica,No,No,Yes,No,No,Yes,Mensual,1,Cheque Electrónico,85.85,2.8616666666666664,167.3,0.0
0221-NAUXK,0.0,Masculino,0,0,1,10,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Anual,1,Transferencia Bancaria,19.95,0.6649999999999999,219.5,0.0
0221-WMXNQ,0.0,Masculino,1,0,0,4,1,No,Fibra Óptica,Yes,No,No,No,No,No,Mensual,0,Cheque Electrónico,75.35,2.5116666666666663,273.4,0.0
0222-CNVPT,0.0,Masculino,1,0,0,52,0,No phone service,DSL,Yes,No,No,No,Yes,Yes,Mensual,1,Tarjeta de Crédito,48.8,1.6266666666666665,2555.05,0.0
0224-HJAPT,1.0,Masculino,0,0,0,5,1,Yes,DSL,No,No,No,No,No,No,Mensual,0,Cheque Electrónico,47.15,1.5716666666666665,223.15,0.0
0224-NIJLP,0.0,Masculino,0,1,1,8,1,No,No,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Sin Internet,Bienal,0,Cheque por Correo,20.15,0.6716666666666666,165.5,0.0
0224-RLWWD,0.0,Femenino,1,0,0,2,1,No,DSL,No,No,No,No,No,No,Mensual,1,Cheque Electrónico,44.3,1.4766666666666666,89.3,0.0
0225-ZORZP,0.0,Masculino,0,0,0,3,1,No,Fibra Óptica,No,Yes,No,No,No,Yes,Mensual,0,Cheque Electrónico,84.3,2.81,235.05,0.0
